agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AL03400,15.0,murder,False,9C,False
AL03401,5.0,murder,False,6,False
AL03402,0.0,murder,False,7,False
AL03403,3.0,murder,False,6,False
AL03404,0.0,murder,False,7,False
AL03405,0.0,murder,False,7,False
AL03500,11.0,murder,False,8D,False
AL03501,5.0,murder,False,6,False
AL03502,0.0,murder,False,7,False
AL03600,5.0,murder,False,9C,False
AL03601,6.0,murder,False,7,False
AL03602,0.0,murder,False,7,False
AL03700,10.0,murder,False,9D,False
AL03701,2.0,murder,False,6,False
AL03702,2.0,murder,False,6,False
AL03703,0.0,murder,False,7,False
AL03800,23.0,murder,False,9B,False
AL03801,29.0,murder,False,3,False
AL03802,0.0,murder,False,7,False
AL03803,0.0,murder,False,7,False
AL03804,0.0,murder,False,7,False
AL03805,0.0,murder,False,7,False
AL03806,0.0,murder,False,7,False
AL03808,0.0,murder,False,7,False
AL03809,0.0,murder,False,7,False
AL03810,0.0,murder,False,7,False
AL03900,23.0,murder,False,8B,False
AL03901,9.0,murder,False,5,False
AL03902,2.0,murder,False,7,False
AL03903,0.0,murder,False,7,False
AL03904,1.0,murder,False,7,False
AL03905,0.0,murder,False,7,False
AL03906,0.0,murder,False,7,False
AL03907,0.0,murder,False,7,False
AL03908,0.0,murder,False,7,False
AL03909,0.0,murder,False,7,False
AL04000,2.0,murder,False,8D,False
AL04001,0.0,murder,False,7,False
AL04002,0.0,murder,False,7,False
AL04003,0.0,murder,False,7,False
AL04004,0.0,murder,False,7,False
AL04100,17.0,murder,False,9B,False
AL04101,22.0,murder,False,4,False
AL04102,0.0,murder,False,7,False
AL04103,0.0,murder,False,7,False
AL04104,0.0,murder,False,7,False
AL04105,0.0,murder,False,7,False
AL04106,0.0,murder,False,7,False
AL04107,1.0,murder,False,7,False
AL04108,0.0,murder,False,7,False
AL04200,20.0,murder,False,9B,False
AL04201,2.0,murder,False,6,False
AL04202,0.0,murder,False,7,False
AL04203,1.0,murder,False,7,False
AL04204,0.0,murder,False,7,False
AL04205,0.0,murder,False,7,False
AL04206,0.0,murder,False,9E,False
AL04300,23.0,murder,False,9B,False
