year_latest,agency_ori_9,agency_ori_7,ori_group,larger_city
2016,AL0310600,AL03106,6,False
2016,AL0310700,AL03107,6,False
2016,AL0310800,AL03108,7,False
2016,AL0310900,AL03109,7,False
2016,AL0311000,AL03110,7,False
2016,AL0312200,AL03122,9D,False
2016,AL0320000,AL03200,8C,False
2016,AL0320100,AL03201,6,False
2016,AL0320200,AL03202,7,False
2016,AL0330000,AL03300,8C,False
2016,AL0330100,AL03301,6,False
2016,AL0330200,AL03302,7,False
2016,AL0330300,AL03303,6,False
2016,AL0330400,AL03304,7,False
2016,AL0330500,AL03305,7,False
2016,AL0340000,AL03400,9C,False
2016,AL0340100,AL03401,6,False
2016,AL0340200,AL03402,7,False
2016,AL0340300,AL03403,6,False
2016,AL0340400,AL03404,7,False
2016,AL0340500,AL03405,7,False
2016,AL0350000,AL03500,8D,False
2016,AL0350100,AL03501,6,False
2016,AL0350200,AL03502,7,False
2016,AL0360000,AL03600,9C,False
2016,AL0360100,AL03601,7,False
2016,AL0360200,AL03602,7,False
2016,AL0370000,AL03700,9D,False
2016,AL0370100,AL03701,6,False
2016,AL0370200,AL03702,6,False
2016,AL0370300,AL03703,7,False
2016,AL0380000,AL03800,9B,False
2016,AL0380100,AL03801,3,False
2016,AL0380200,AL03802,7,False
2016,AL0380300,AL03803,7,False
2016,AL0380400,AL03804,7,False
2016,AL0380500,AL03805,7,False
2016,AL0380600,AL03806,7,False
2016,AL0380800,AL03808,7,False
2016,AL0380900,AL03809,7,False
2016,AL0381000,AL03810,7,False
2016,AL0390000,AL03900,8B,False
2016,AL0390100,AL03901,5,False
2016,AL0390200,AL03902,7,False
2016,AL0390300,AL03903,7,False
2016,AL0390400,AL03904,7,False
2016,AL0390500,AL03905,7,False
2016,AL0390600,AL03906,7,False
2016,AL0390700,AL03907,7,False
2016,AL0390800,AL03908,7,False
2016,AL0390900,AL03909,7,False
2016,AL0400000,AL04000,8D,False
2016,AL0400100,AL04001,7,False
2016,AL0400200,AL04002,7,False
2016,AL0400300,AL04003,7,False
2016,AL0400400,AL04004,7,False
2016,AL0410000,AL04100,9B,False
2016,AL0410100,AL04101,4,False
2016,AL0410200,AL04102,7,False
2016,AL0410300,AL04103,7,False
2016,AL0410400,AL04104,7,False
2016,AL0410500,AL04105,7,False
2016,AL0410600,AL04106,7,False
2016,AL0410700,AL04107,7,False
2016,AL0410800,AL04108,7,False
2016,AL0420000,AL04200,9B,False
2016,AL0420100,AL04201,6,False
2016,AL0420200,AL04202,7,False
2016,AL0420300,AL04203,7,False
2016,AL0420400,AL04204,7,False
2016,AL0420500,AL04205,7,False
2016,AL0420600,,9E,False
2016,AL0430000,AL04300,9B,False
2016,AL0430100,AL04301,3,False
2016,AL0430200,AL04302,4,False
2016,AL0430300,AL04303,7,False
2016,AL0440000,AL04400,9B,False
2016,AL0440100,AL04401,4,False
2016,AL0440200,AL04402,7,False
2016,AL0440300,AL04403,7,False
2016,AL0450000,AL04500,9D,False
2016,AL0450100,AL04501,7,False
2016,AL0450200,AL04502,7,False
2016,AL0450400,AL04504,7,False
2016,AL0450500,AL04505,7,False
2016,AL0450700,AL04507,7,False
2016,AL0460000,AL04600,8D,False
