agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AL04403,0.0,assault_gun,False,7,False
AL04500,18.0,assault_gun,False,9D,False
AL04501,1.0,assault_gun,False,7,False
AL04502,1.0,assault_gun,False,7,False
AL04504,3.0,assault_gun,False,7,False
AL04505,0.0,assault_gun,False,7,False
AL04507,0.0,assault_gun,False,7,False
AL04600,13.0,assault_gun,False,8D,False
AL04601,25.0,assault_gun,False,6,False
AL04602,4.0,assault_gun,False,7,False
AL04606,2.0,assault_gun,False,7,False
AL04607,0.0,assault_gun,False,7,False
AL04700,34.0,assault_gun,True,9A,False
AL04701,20.0,assault_gun,False,2,True
AL04702,31.0,assault_gun,False,4,False
AL04703,3.0,assault_gun,False,7,False
AL04704,8.0,assault_gun,False,6,False
AL04705,5.0,assault_gun,False,7,False
AL04706,0.0,assault_gun,False,7,False
AL04707,0.0,assault_gun,False,7,False
AL04708,2.0,assault_gun,False,7,False
AL04709,0.0,assault_gun,False,7,False
AL04711,0.0,assault_gun,False,7,False
AL04800,24.0,assault_gun,False,8C,False
AL04801,28.0,assault_gun,False,6,False
AL04802,11.0,assault_gun,False,7,False
AL04803,1.0,assault_gun,False,7,False
AL04804,0.0,assault_gun,False,7,False
AL04805,0.0,assault_gun,False,7,False
AL04806,0.0,assault_gun,False,7,False
AL04807,1.0,assault_gun,False,7,False
AL04900,10.0,assault_gun,False,8C,False
AL04901,15.0,assault_gun,False,6,False
AL04902,7.0,assault_gun,False,6,False
AL04903,2.0,assault_gun,False,7,False
AL04904,0.0,assault_gun,False,7,False
AL04905,2.0,assault_gun,False,7,False
AL04906,0.0,assault_gun,False,7,False
AL04907,4.0,assault_gun,False,7,False
AL04908,1.0,assault_gun,False,8D,False
AL05000,27.0,assault_gun,False,8B,False
AL05001,22.0,assault_gun,False,5,False
AL05002,21.0,assault_gun,False,6,False
AL05003,21.0,assault_gun,False,6,False
AL05004,16.0,assault_gun,False,6,False
AL05005,1.0,assault_gun,False,7,False
AL05006,2.0,assault_gun,False,7,False
AL05008,0.0,assault_gun,False,8E,False
AL05100,23.0,assault_gun,False,8C,False
AL05101,29.0,assault_gun,False,6,False
AL05102,0.0,assault_gun,False,7,False
AL05103,0.0,assault_gun,False,7,False
AL05104,0.0,assault_gun,False,7,False
AL05200,24.0,assault_gun,False,9B,False
AL05201,31.0,assault_gun,False,3,False
AL05202,13.0,assault_gun,False,5,False
AL05204,5.0,assault_gun,False,7,False
AL05205,2.0,assault_gun,False,7,False
AL05206,0.0,assault_gun,False,7,False
AL05207,6.0,assault_gun,False,7,False
AL05209,0.0,assault_gun,False,6,False
AL05211,0.0,assault_gun,False,7,False
AL05300,6.0,assault_gun,False,8D,False
AL05301,13.0,assault_gun,False,6,False
AL05302,5.0,assault_gun,False,7,False
