firearm_ind,agency_ori_7,decade,Black/Hispanic,White,diff
0,GA02503,2010,0.8636363636363636,0.7333333333333333,-0.13
0,GAAPD00,1980,0.6048689138576779,0.4608695652173913,-0.144
0,GAAPD00,1990,0.5714285714285714,0.5,-0.071
0,GAAPD00,2000,0.5,0.4117647058823529,-0.088
0,GAAPD00,2010,0.5526315789473685,0.5833333333333334,0.031
0,IA07703,1980,0.8666666666666667,0.8,-0.067
0,IA07703,1990,0.8,0.7894736842105263,-0.011
0,IA07703,2000,0.9,0.8484848484848485,-0.052
0,IA07703,2010,0.9333333333333333,0.9,-0.033
0,ILCPD00,1980,0.8012861736334406,0.6850715746421268,-0.116
0,ILCPD00,1990,0.7354138398914518,0.7135842880523732,-0.022
0,ILCPD00,2000,0.6067732831608654,0.554140127388535,-0.053
0,ILCPD00,2010,0.6746268656716418,0.6139240506329114,-0.061
